,,S0,K,T,r,sigma,moneyness,log_moneyness,sigma_sqrt_t,time_decay_factor,time_step,config_name,config_option_type
0,0,70.0999984741211,70.85,1.1013698630136983,0.0459100008010864,0.2509,0.989414233932549,-0.010642193863319344,0.2633099409181153,0.950693185714754,0,G9F6C 70.85 Comdty,arithmetic
0,1,69.62000274658203,70.85,1.095890410958904,0.045789999961853,0.2457,0.9826394177358085,-0.017513044302348325,0.25721051556083097,0.9510574369616897,1,G9F6C 70.85 Comdty,arithmetic
0,2,70.5999984741211,70.85,1.093150684931507,0.0461899995803833,0.237,0.9964713969530148,-0.0035348432505088977,0.247792616560538,0.9507609360604792,2,G9F6C 70.85 Comdty,arithmetic
0,3,70.98999786376953,70.85,1.084931506849315,0.0454500007629394,0.237,1.0019759754942772,0.0019740258226133497,0.24685930772044865,0.9518858681126297,3,G9F6C 70.85 Comdty,arithmetic
0,4,73.12999725341797,70.85,1.0767123287671232,0.0457499980926513,0.2253,1.0321806246071696,0.03167367558864156,0.2337819811540846,0.951933987946338,4,G9F6C 70.85 Comdty,arithmetic
0,5,73.95999908447266,70.85,1.073972602739726,0.0459600019454956,0.2211,1.0438955410652457,0.04295942800355232,0.22913178788456676,0.9518386128191062,5,G9F6C 70.85 Comdty,arithmetic
0,6,73.55999755859375,70.85,1.0657534246575342,0.0461800003051757,0.21739999999999998,1.0382497891121207,0.03753640041011216,0.22443361675285436,0.9519750110085052,6,G9F6C 70.85 Comdty,arithmetic
0,7,73.31999969482422,70.85,1.0602739726027397,0.0469299983978271,0.2227,1.0348623810137505,0.03426845267257018,0.22931331219683898,0.9514590258767754,7,G9F6C 70.85 Comdty,arithmetic
0,8,75.44000244140625,70.85,1.021917808219178,0.0459899997711181,0.20739999999999997,1.0647847909866797,0.0627727045507371,0.20966055723543703,0.9540893059902346,8,G9F6C 70.85 Comdty,arithmetic
0,9,73.16999816894531,70.85,1.008219178082192,0.0452799987792968,0.1934,1.0327452105708583,0.03222050973458454,0.19419316805837417,0.955374218757951,9,G9F6C 70.85 Comdty,arithmetic
1,0,70.0999984741211,72.2,1.1013698630136983,0.0459100008010864,0.2509,0.9709141062897658,-0.02951727362541052,0.2633099409181153,0.950693185714754,0,G9F6C 72.2 Comdty,arithmetic
1,1,69.62000274658203,72.2,1.095890410958904,0.045789999961853,0.2457,0.9642659660191417,-0.03638812406443947,0.25721051556083097,0.9510574369616897,1,G9F6C 72.2 Comdty,arithmetic
1,2,70.5999984741211,72.2,1.093150684931507,0.0461899995803833,0.237,0.9778393140459984,-0.022409923012600145,0.247792616560538,0.9507609360604792,2,G9F6C 72.2 Comdty,arithmetic
1,3,70.98999786376953,72.2,1.084931506849315,0.0454500007629394,0.237,0.9832409676422372,-0.016901053939477908,0.24685930772044865,0.9518858681126297,3,G9F6C 72.2 Comdty,arithmetic
1,4,73.12999725341797,72.2,1.0767123287671232,0.0457499980926513,0.2253,1.0128808483852905,0.012798595826550496,0.2337819811540846,0.951933987946338,4,G9F6C 72.2 Comdty,arithmetic
1,5,73.95999908447266,72.2,1.073972602739726,0.0459600019454956,0.2211,1.024376718621505,0.024084348241461155,0.22913178788456676,0.9518386128191062,5,G9F6C 72.2 Comdty,arithmetic
1,6,73.55999755859375,72.2,1.0657534246575342,0.0461800003051757,0.21739999999999998,1.0188365312824619,0.018661320648020972,0.22443361675285436,0.9519750110085052,6,G9F6C 72.2 Comdty,arithmetic
1,7,73.31999969482422,72.2,1.0602739726027397,0.0469299983978271,0.2227,1.0155124611471498,0.01539337291047894,0.22931331219683898,0.9514590258767754,7,G9F6C 72.2 Comdty,arithmetic
1,8,75.44000244140625,72.2,1.021917808219178,0.0459899997711181,0.20739999999999997,1.0448753800748787,0.04389762478864581,0.20966055723543703,0.9540893059902346,8,G9F6C 72.2 Comdty,arithmetic
1,9,73.16999816894531,72.2,1.008219178082192,0.0452799987792968,0.1934,1.0134348776862232,0.013345429972493472,0.19419316805837417,0.955374218757951,9,G9F6C 72.2 Comdty,arithmetic
2,0,70.0999984741211,72.67,1.1013698630136983,0.0459100008010864,0.2509,0.9646346287893366,-0.03600587235517454,0.2633099409181153,0.950693185714754,0,G9F6C 72.67 Comdty,arithmetic
2,1,69.62000274658203,72.67,1.095890410958904,0.045789999961853,0.2457,0.9580294859857167,-0.04287672279420346,0.25721051556083097,0.9510574369616897,1,G9F6C 72.67 Comdty,arithmetic
2,2,70.5999984741211,72.67,1.093150684931507,0.0461899995803833,0.237,0.971515047118771,-0.028898521742364097,0.247792616560538,0.9507609360604792,2,G9F6C 72.67 Comdty,arithmetic
2,3,70.98999786376953,72.67,1.084931506849315,0.0454500007629394,0.237,0.9768817650167817,-0.023389652669241916,0.24685930772044865,0.9518858681126297,3,G9F6C 72.67 Comdty,arithmetic
2,4,73.12999725341797,72.67,1.0767123287671232,0.0457499980926513,0.2253,1.0063299470678129,0.00630999709678637,0.2337819811540846,0.951933987946338,4,G9F6C 72.67 Comdty,arithmetic
2,5,73.95999908447266,72.67,1.073972602739726,0.0459600019454956,0.2211,1.0177514666915186,0.017595749511697206,0.22913178788456676,0.9518386128191062,5,G9F6C 72.67 Comdty,arithmetic
2,6,73.55999755859375,72.67,1.0657534246575342,0.0461800003051757,0.21739999999999998,1.0122471110306006,0.01217272191825697,0.22443361675285436,0.9519750110085052,6,G9F6C 72.67 Comdty,arithmetic
2,7,73.31999969482422,72.67,1.0602739726027397,0.0469299983978271,0.2227,1.0089445396287906,0.008904774180714956,0.22931331219683898,0.9514590258767754,7,G9F6C 72.67 Comdty,arithmetic
2,8,75.44000244140625,72.67,1.021917808219178,0.0459899997711181,0.20739999999999997,1.0381175511408594,0.03740902605888193,0.20966055723543703,0.9540893059902346,8,G9F6C 72.67 Comdty,arithmetic
2,9,73.16999816894531,72.67,1.008219178082192,0.0452799987792968,0.1934,1.00688039313259,0.00685683124272953,0.19419316805837417,0.955374218757951,9,G9F6C 72.67 Comdty,arithmetic
3,0,70.0999984741211,72.75,1.1013698630136983,0.0459100008010864,0.2509,0.9635738621872315,-0.03710613377823187,0.2633099409181153,0.950693185714754,0,G9F6C 72.75 Comdty,arithmetic
3,1,69.62000274658203,72.75,1.095890410958904,0.045789999961853,0.2457,0.956975982770887,-0.04397698421726084,0.25721051556083097,0.9510574369616897,1,G9F6C 72.75 Comdty,arithmetic
